Date,AQI
2017-12-21,94
2017-12-22,81
2017-12-23,74
2017-12-24,67
2017-12-25,70
2017-12-26,88
2017-12-27,93
2017-12-28,60
2017-12-29,57
2017-12-30,42
2017-12-31,64
2018-01-01,85
2018-01-02,89
2018-01-03,73
2018-01-04,80
2018-01-05,55
2018-01-06,37
2018-01-07,59
2018-01-08,65
2018-01-09,42
2018-01-10,40
2018-01-11,39
2018-01-12,39
2018-01-13,36
2018-01-14,54
2018-01-15,60
2018-01-16,44
2018-01-17,48
2018-01-18,40
2018-01-19,39
2018-01-20,40
2018-01-21,40
2018-01-22,40
2018-01-23,52
2018-01-24,40
2018-01-25,41
2018-01-26,42
2018-01-27,41
2018-01-28,42
2018-01-29,44
2018-01-30,41
2018-01-31,47
2018-02-01,38
2018-02-02,40
2018-02-03,40
2018-02-04,36
2018-02-05,40
2018-02-06,34
2018-02-07,38
2018-02-08,37
2018-02-09,42
2018-02-10,51
2018-02-11,67
2018-02-12,45
2018-02-13,63
2018-02-14,56
2018-02-15,40
2018-02-16,37
2018-02-17,41
2018-02-18,33
2018-02-19,54
2018-02-20,80
2018-02-21,53
2018-02-22,45
2018-02-23,69
2018-02-24,39
2018-02-25,35
2018-02-26,48
2018-02-27,30
2018-02-28,38
2018-03-01,46
2018-03-02,41
2018-03-03,51
2018-03-04,52
2018-03-05,41
2018-03-06,47
2018-03-07,44
2018-03-08,44
2018-03-09,54
2018-03-10,51
2018-03-11,71
2018-03-12,53
2018-03-13,50
2018-03-14,48
2018-03-15,42
2018-03-16,41
2018-03-17,45
2018-03-18,39
2018-03-19,42
2018-03-20,48
2018-03-21,56
2018-03-22,44
2018-03-23,45
2018-03-24,41
2018-03-25,42
2018-03-26,42
2018-03-27,44
2018-03-28,31
2018-03-29,37
2018-03-30,42
2018-03-31,45
2018-04-01,45
2018-04-02,43
2018-04-03,50
2018-04-04,43
2018-04-05,41
2018-04-06,35
2018-04-07,46
2018-04-08,38
2018-04-09,58
2018-04-10,48
2018-04-11,50
2018-04-12,45
2018-04-13,48
2018-04-14,48
2018-04-15,44
2018-04-16,45
2018-04-17,46
2018-04-18,31
2018-04-19,46
2018-04-20,50
2018-04-21,50
2018-04-22,47
2018-04-23,77
2018-04-24,74
2018-04-25,71
2018-04-26,74
2018-04-27,77
2018-04-28,42
2018-04-29,42
2018-04-30,42
2018-05-01,46
2018-05-02,47
2018-05-03,51
2018-05-04,47
2018-05-05,48
2018-05-06,50
2018-05-07,40
2018-05-08,47
2018-05-09,44
2018-05-10,44
2018-05-11,43
2018-05-12,44
2018-05-13,55
2018-05-14,90
2018-05-15,54
2018-05-16,30
2018-05-17,36
2018-05-18,39
2018-05-19,57
2018-05-20,39
2018-05-21,44
2018-05-22,50
2018-05-23,58
2018-05-24,36
2018-05-25,33
2018-05-26,38
2018-05-27,44
2018-05-28,38
2018-05-29,35
2018-05-30,35
2018-05-31,34
2018-06-01,39
2018-06-02,44
2018-06-03,42
2018-06-04,38
2018-06-05,42
2018-06-06,47
2018-06-07,43
2018-06-08,44
2018-06-09,37
2018-06-10,33
2018-06-11,40
2018-06-12,40
2018-06-13,32
2018-06-14,37
2018-06-15,33
2018-06-16,43
2018-06-17,46
2018-06-18,67
2018-06-19,54
2018-06-20,64
2018-06-21,30
2018-06-22,26
2018-06-23,31
2018-06-24,40
2018-06-25,37
2018-06-26,38
2018-06-27,38
2018-06-28,33
2018-06-29,33
2018-06-30,28
2018-07-01,35
2018-07-02,31
2018-07-03,34
2018-07-04,67
2018-07-05,59
2018-07-06,30
2018-07-07,29
2018-07-08,43
2018-07-09,36
2018-07-10,40
2018-07-11,44
2018-07-12,58
2018-07-13,57
2018-07-14,67
2018-07-15,93
2018-07-16,100
2018-07-17,64
2018-07-18,31
2018-07-19,26
2018-07-20,40
2018-07-21,37
2018-07-22,48
2018-07-23,67
2018-07-24,84
2018-07-25,80
2018-07-26,90
2018-07-27,64
2018-07-28,67
2018-07-29,147
2018-07-30,136
2018-07-31,44
2018-08-01,38
2018-08-02,31
2018-08-03,24
2018-08-04,39
2018-08-05,50
2018-08-06,64
2018-08-07,84
2018-08-08,129
2018-08-09,122
2018-08-10,80
2018-08-11,30
2018-08-12,31
2018-08-13,117
2018-08-14,172
2018-08-15,162
2018-08-16,112
2018-08-17,63
2018-08-18,75
2018-08-19,158
2018-08-20,181
2018-08-21,192
2018-08-22,190
2018-08-23,142
2018-08-24,142
2018-08-25,155
2018-08-26,87
2018-08-27,57
2018-08-28,70
2018-08-29,59
2018-08-30,32
2018-08-31,35
2018-09-01,40
2018-09-02,52
2018-09-03,35
2018-09-04,44
2018-09-05,66
2018-09-06,93
2018-09-07,49
2018-09-08,31
2018-09-09,34
2018-09-10,35
2018-09-11,31
2018-09-12,31
2018-09-13,30
2018-09-14,30
2018-09-15,32
2018-09-16,36
2018-09-17,33
2018-09-18,32
2018-09-19,42
2018-09-20,29
2018-09-21,32
2018-09-22,33
2018-09-23,40
2018-09-24,42
2018-09-25,41
2018-09-26,44
2018-09-27,41
2018-09-28,37
2018-09-29,47
2018-09-30,45
2018-10-01,32
2018-10-02,38
2018-10-03,45
2018-10-04,46
2018-10-05,54
2018-10-06,54
2018-10-07,51
2018-10-08,57
2018-10-09,33
2018-10-10,59
2018-10-11,58
2018-10-12,58
2018-10-13,48
2018-10-14,51
2018-10-15,52
2018-10-16,59
2018-10-17,72
2018-10-18,75
2018-10-19,87
2018-10-20,90
2018-10-21,93
2018-10-22,95
2018-10-23,77
2018-10-24,59
2018-10-25,47
2018-10-26,41
2018-10-27,48
2018-10-28,42
2018-10-29,38
2018-10-30,50
2018-10-31,43
2018-11-01,37
2018-11-02,42
2018-11-03,45
2018-11-04,48
2018-11-05,40
2018-11-06,39
2018-11-07,47
2018-11-08,70
2018-11-09,71
2018-11-10,64
2018-11-11,78
2018-11-12,84
2018-11-13,89
2018-11-14,90
2018-11-15,52
2018-11-16,36
2018-11-17,62
2018-11-18,83
2018-11-19,99
2018-11-20,111
2018-11-21,68
2018-11-22,39
2018-11-23,38
2018-11-24,58
2018-11-25,71
2018-11-26,43
2018-11-27,39
2018-11-28,39
2018-11-29,45
2018-11-30,42
2018-12-01,52
2018-12-02,66
2018-12-03,63
2018-12-04,63
2018-12-05,73
2018-12-06,73
2018-12-07,85
2018-12-08,87
2018-12-09,57
2018-12-10,40
2018-12-11,36
2018-12-12,34
2018-12-13,41
2018-12-14,56
2018-12-15,33
2018-12-16,33
2018-12-17,28
2018-12-18,32
2018-12-19,42
2018-12-20,33
2018-12-21,45
2018-12-22,43
2018-12-23,25
2018-12-24,40
2018-12-25,73
2018-12-26,30
2018-12-27,44
2018-12-28,40
2018-12-29,33
2018-12-30,35
2018-12-31,71
2019-01-01,142
2019-01-02,55
2019-01-03,52
2019-01-04,43
2019-01-05,52
2019-01-06,32
2019-01-07,42
2019-01-08,49
2019-01-09,53
2019-01-10,80
2019-01-11,60
2019-01-12,77
2019-01-13,120
2019-01-14,92
2019-01-15,86
2019-01-16,87
2019-01-17,42
2019-01-18,40
2019-01-19,38
2019-01-20,48
2019-01-21,63
2019-01-22,39
2019-01-23,38
2019-01-24,48
2019-01-25,73
2019-01-26,81
2019-01-27,63
2019-01-28,47
2019-01-29,78
2019-01-30,85
2019-01-31,65
2019-02-01,48
2019-02-02,38
2019-02-03,41
2019-02-04,63
2019-02-05,93
2019-02-06,81
2019-02-07,91
2019-02-08,63
2019-02-09,48
2019-02-10,70
2019-02-11,35
2019-02-12,48
2019-02-13,42
2019-02-14,54
2019-02-15,59
2019-02-16,59
2019-02-17,58
2019-02-18,85
2019-02-19,70
2019-02-20,41
2019-02-21,56
2019-02-22,57
2019-02-23,42
2019-02-24,53
2019-02-25,41
2019-02-26,46
2019-02-27,43
2019-02-28,49
2019-03-01,42
2019-03-02,44
2019-03-03,45
2019-03-04,57
2019-03-05,64
2019-03-06,69
2019-03-07,44
2019-03-08,48
2019-03-09,60
2019-03-10,62
2019-03-11,53
2019-03-12,52
2019-03-13,41
2019-03-14,51
2019-03-15,47
2019-03-16,55
2019-03-17,61
2019-03-18,54
2019-03-19,92
2019-03-20,58
2019-03-21,46
2019-03-22,48
2019-03-23,44
2019-03-24,57
2019-03-25,50
2019-03-26,47
2019-03-27,47
2019-03-28,46
2019-03-29,45
2019-03-30,50
2019-03-31,52
2019-04-01,47
2019-04-02,46
2019-04-03,44
2019-04-04,46
2019-04-05,47
2019-04-06,48
2019-04-07,45
2019-04-08,44
2019-04-09,41
2019-04-10,43
2019-04-11,43
2019-04-12,41
2019-04-13,47
2019-04-14,46
2019-04-15,47
2019-04-16,45
2019-04-17,43
2019-04-18,28
2019-04-19,42
2019-04-20,38
2019-04-21,44
2019-04-22,40
2019-04-23,37
2019-04-24,43
2019-04-25,34
2019-04-26,43
2019-04-27,37
2019-04-28,36
2019-04-29,41
2019-04-30,43
2019-05-01,44
2019-05-02,41
2019-05-03,38
2019-05-04,42
2019-05-05,41
2019-05-06,44
2019-05-07,44
2019-05-08,45
2019-05-09,51
2019-05-10,74
2019-05-11,90
2019-05-12,54
2019-05-13,58
2019-05-14,46
2019-05-15,42
2019-05-16,45
2019-05-17,40
2019-05-18,45
2019-05-19,38
2019-05-20,54
2019-05-21,45
2019-05-22,46
2019-05-23,52
2019-05-24,40
2019-05-25,45
2019-05-26,44
2019-05-27,53
2019-05-28,51
2019-05-29,44
2019-05-30,52
2019-05-31,54
2019-06-01,41
2019-06-02,37
2019-06-03,36
2019-06-04,41
2019-06-05,36
2019-06-06,31
2019-06-07,29
2019-06-08,32
2019-06-09,39
2019-06-10,39
2019-06-11,48
2019-06-12,66
2019-06-13,44
2019-06-14,32
2019-06-15,36
2019-06-16,37
2019-06-17,32
2019-06-18,26
2019-06-19,31
2019-06-20,27
2019-06-21,29
2019-06-22,25
2019-06-23,25
2019-06-24,31
2019-06-25,37
2019-06-26,34
2019-06-27,32
2019-06-28,31
2019-06-29,39
2019-06-30,44
2019-07-01,43
2019-07-02,30
2019-07-03,31
2019-07-04,69
2019-07-05,77
2019-07-06,30
2019-07-07,30
2019-07-08,34
2019-07-09,40
2019-07-10,25
2019-07-11,26
2019-07-12,31
2019-07-13,28
2019-07-14,35
2019-07-15,31
2019-07-16,32
2019-07-17,25
2019-07-18,28
2019-07-19,28
2019-07-20,51
2019-07-21,47
2019-07-22,45
2019-07-23,30
2019-07-24,34
2019-07-25,41
2019-07-26,43
2019-07-27,29
2019-07-28,38
2019-07-29,40
2019-07-30,42
2019-07-31,41
2019-08-01,36
2019-08-02,26
2019-08-03,53
2019-08-04,61
2019-08-05,87
2019-08-06,49
2019-08-07,43
2019-08-08,31
2019-08-09,36
2019-08-10,35
2019-08-11,28
2019-08-12,39
2019-08-13,49
2019-08-14,50
2019-08-15,36
2019-08-16,35
2019-08-17,33
2019-08-18,32
2019-08-19,42
2019-08-20,44
2019-08-21,39
2019-08-22,39
2019-08-23,40
2019-08-24,31
2019-08-25,41
2019-08-26,46
2019-08-27,43
2019-08-28,48
2019-08-29,43
2019-08-30,35
2019-08-31,62
2019-09-01,31
2019-09-02,34
2019-09-03,39
2019-09-04,38
2019-09-05,42
2019-09-06,42
2019-09-07,42
2019-09-08,31
2019-09-09,35
2019-09-10,30
2019-09-11,36
2019-09-12,34
2019-09-13,30
2019-09-14,31
2019-09-15,39
2019-09-16,28
2019-09-17,32
2019-09-18,31
2019-09-19,39
2019-09-20,32
2019-09-21,41
2019-09-22,29
2019-09-23,30
2019-09-24,33
2019-09-25,51
2019-09-26,29
2019-09-27,31
2019-09-28,29
2019-09-29,33
2019-09-30,41
2019-10-01,57
2019-10-02,50
2019-10-03,33
2019-10-04,31
2019-10-05,33
2019-10-06,43
2019-10-07,37
2019-10-08,36
2019-10-09,46
2019-10-10,54
2019-10-11,61
2019-10-12,62
2019-10-13,59
2019-10-14,63
2019-10-15,62
2019-10-16,56
2019-10-17,53
2019-10-18,40
2019-10-19,36
2019-10-20,41
2019-10-21,48
2019-10-22,46
2019-10-23,47
2019-10-24,60
2019-10-25,48
2019-10-26,34
2019-10-27,60
2019-10-28,62
2019-10-29,66
2019-10-30,64
2019-10-31,84
2019-11-01,75
2019-11-02,90
2019-11-03,93
2019-11-04,84
2019-11-05,67
2019-11-06,75
2019-11-07,82
2019-11-08,76
2019-11-09,56
2019-11-10,54
2019-11-11,53
2019-11-12,54
2019-11-13,53
2019-11-14,60
2019-11-15,38
2019-11-16,48
2019-11-17,44
2019-11-18,44
2019-11-19,37
2019-11-20,55
2019-11-21,81
2019-11-22,73
2019-11-23,63
2019-11-24,45
2019-11-25,38
2019-11-26,45
2019-11-27,52
2019-11-28,68
2019-11-29,84
2019-11-30,92
2019-12-01,75
2019-12-02,76
2019-12-03,72
2019-12-04,49
2019-12-05,63
2019-12-06,57
2019-12-07,44
2019-12-08,52
2019-12-09,52
2019-12-10,69
2019-12-11,64
2019-12-12,43
2019-12-13,41
2019-12-14,60
2019-12-15,63
2019-12-16,58
2019-12-17,73
2019-12-18,66
2019-12-19,41
2019-12-20,54
2019-12-21,41
2019-12-22,41
2019-12-23,52
2019-12-24,59
2019-12-25,78
2019-12-26,89
2019-12-27,55
2019-12-28,68
2019-12-29,64
2019-12-30,60
2019-12-31,32
2020-01-01,40
2020-01-02,43
2020-01-03,42
2020-01-04,40
2020-01-05,38
2020-01-06,37
2020-01-07,38
2020-01-08,39
2020-01-09,59
2020-01-10,43
2020-01-11,42
2020-01-12,41
2020-01-13,41
2020-01-14,32
2020-01-15,33
2020-01-16,40
2020-01-17,61
2020-01-18,45
2020-01-19,68
2020-01-20,55
2020-01-21,42
2020-01-22,39
2020-01-23,41
2020-01-24,41
2020-01-25,44
2020-01-26,39
2020-01-27,40
2020-01-28,42
2020-01-29,42
2020-01-30,44
2020-01-31,38
2020-02-01,41
2020-02-02,45
2020-02-03,52
2020-02-04,56
2020-02-05,99
2020-02-06,36
2020-02-07,36
2020-02-08,42
2020-02-09,54
2020-02-10,67
2020-02-11,56
2020-02-12,50
2020-02-13,46
2020-02-14,40
2020-02-15,40
2020-02-16,40
2020-02-17,39
2020-02-18,52
2020-02-19,51
2020-02-20,60
2020-02-21,67
2020-02-22,49
2020-02-23,42
2020-02-24,45
2020-02-25,47
2020-02-26,43
2020-02-27,49
2020-02-28,46
2020-02-29,41
2020-03-01,40
2020-03-02,39
2020-03-03,31
2020-03-04,50
2020-03-05,45
2020-03-06,39
2020-03-07,38
2020-03-08,38
2020-03-09,52
2020-03-10,42
2020-03-11,41
2020-03-12,43
2020-03-13,44
2020-03-14,55
2020-03-15,55
2020-03-16,64
2020-03-17,65
2020-03-18,71
2020-03-19,72
2020-03-20,73
2020-03-21,78
2020-03-22,74
2020-03-23,76
2020-03-24,39
2020-03-25,39
2020-03-26,46
2020-03-27,46
2020-03-28,37
2020-03-29,35
2020-03-30,34
2020-03-31,35
2020-04-01,36
2020-04-02,50
2020-04-03,39
2020-04-04,39
2020-04-05,40
2020-04-06,43
2020-04-07,55
2020-04-08,57
2020-04-09,52
2020-04-10,55
2020-04-11,47
2020-04-12,50
2020-04-13,49
2020-04-14,50
2020-04-15,43
2020-04-16,48
2020-04-17,61
2020-04-18,44
2020-04-19,45
2020-04-20,47
2020-04-21,35
2020-04-22,44
2020-04-23,42
2020-04-24,42
2020-04-25,52
2020-04-26,46
2020-04-27,47
2020-04-28,64
2020-04-29,44
2020-04-30,44
2020-05-01,44
2020-05-02,44
2020-05-03,47
2020-05-04,58
2020-05-05,45
2020-05-06,39
2020-05-07,46
2020-05-08,47
2020-05-09,49
2020-05-10,44
2020-05-11,44
2020-05-12,40
2020-05-13,37
2020-05-14,42
2020-05-15,40
2020-05-16,44
2020-05-17,40
2020-05-18,40
2020-05-19,27
2020-05-20,32
2020-05-21,37
2020-05-22,32
2020-05-23,36
2020-05-24,40
2020-05-25,29
2020-05-26,44
2020-05-27,50
2020-05-28,61
2020-05-29,54
2020-05-30,45
2020-05-31,32
2020-06-01,42
2020-06-02,45
2020-06-03,38
2020-06-04,44
2020-06-05,44
2020-06-06,32
2020-06-07,31
2020-06-08,31
2020-06-09,25
2020-06-10,37
2020-06-11,88
2020-06-12,37
2020-06-13,32
2020-06-14,34
2020-06-15,35
2020-06-16,31
2020-06-17,31
2020-06-18,37
2020-06-19,45
2020-06-20,30
2020-06-21,28
2020-06-22,44
2020-06-23,44
2020-06-24,29
2020-06-25,154
2020-06-26,40
2020-06-27,39
2020-06-28,26
2020-06-29,36
2020-06-30,28
2020-07-01,25
2020-07-02,46
2020-07-03,45
2020-07-04,144
2020-07-05,92
2020-07-06,35
2020-07-07,23
2020-07-08,30
2020-07-09,25
2020-07-10,48
2020-07-11,51
2020-07-12,35
2020-07-13,35
2020-07-14,40
2020-07-15,38
2020-07-16,35
2020-07-17,28
2020-07-18,31
2020-07-19,31
2020-07-20,44
2020-07-21,46
2020-07-22,25
2020-07-23,23
2020-07-24,26
2020-07-25,32
2020-07-26,45
2020-07-27,84
2020-07-28,44
2020-07-29,64
2020-07-30,77
2020-07-31,48
2020-08-01,33
2020-08-02,28
2020-08-03,32
2020-08-04,41
2020-08-05,41
2020-08-06,28
2020-08-07,34
2020-08-08,66
2020-08-09,32
2020-08-10,44
2020-08-11,42
2020-08-12,38
2020-08-13,44
2020-08-14,46
2020-08-15,48
2020-08-16,67
2020-08-17,61
2020-08-18,43
2020-08-19,103
2020-08-20,29
2020-08-21,25
2020-08-22,31
2020-08-23,38
2020-08-24,34
2020-08-25,35
2020-08-26,36
2020-08-27,40
2020-08-28,43
2020-08-29,31
2020-08-30,42
2020-08-31,34
2020-09-01,36
2020-09-02,40
2020-09-03,35
2020-09-04,48
2020-09-05,52
2020-09-06,44
2020-09-07,91
2020-09-08,149
2020-09-09,104
2020-09-10,124
2020-09-11,223
2020-09-12,232
2020-09-13,238
2020-09-14,275
2020-09-15,244
2020-09-16,187
2020-09-17,167
2020-09-18,152
2020-09-19,26
2020-09-20,34
2020-09-21,42
2020-09-22,33
2020-09-23,37
2020-09-24,35
2020-09-25,34
2020-09-26,34
2020-09-27,30
2020-09-28,31
2020-09-29,43
2020-09-30,64
2020-10-01,66
2020-10-02,70
2020-10-03,79
2020-10-04,48
2020-10-05,54
2020-10-06,60
2020-10-07,63
2020-10-08,29
2020-10-09,33
2020-10-10,44
2020-10-11,30
2020-10-12,35
2020-10-13,39
2020-10-14,38
2020-10-15,50
2020-10-16,30
2020-10-17,36
2020-10-18,36
2020-10-19,38
2020-10-20,37
2020-10-21,44
2020-10-22,60
2020-10-23,39
2020-10-24,48
2020-10-25,59
2020-10-26,63
2020-10-27,54
2020-10-28,40
2020-10-29,44
2020-10-30,41
2020-10-31,61
2020-11-01,78
2020-11-02,86
2020-11-03,67
2020-11-04,36
2020-11-05,39
2020-11-06,48
2020-11-07,59
2020-11-08,56
2020-11-09,64
2020-11-10,38
2020-11-11,51
2020-11-12,42
2020-11-13,38
2020-11-14,37
2020-11-15,36
2020-11-16,43
2020-11-17,47
2020-11-18,38
2020-11-19,35
2020-11-20,39
2020-11-21,55
2020-11-22,62
2020-11-23,38
2020-11-24,37
2020-11-25,34
2020-11-26,31
2020-11-27,47
2020-11-28,57
2020-11-29,59
2020-11-30,40
2020-12-01,56
2020-12-02,73
2020-12-03,97
2020-12-04,92
2020-12-05,84
2020-12-06,75
2020-12-07,51
2020-12-08,34
2020-12-09,28
2020-12-10,43
2020-12-11,48
2020-12-12,64
2020-12-13,41
2020-12-14,52
2020-12-15,38
2020-12-16,42
2020-12-17,36
2020-12-18,38
2020-12-19,40
2020-12-20,36
2020-12-21,34
2020-12-22,53
2020-12-23,72
2020-12-24,84
2020-12-25,72
2020-12-26,38
2020-12-27,58
2020-12-28,66
2020-12-29,81
2020-12-30,45
2020-12-31,35
2021-01-01,54
2021-01-02,39
2021-01-03,41
2021-01-04,32
2021-01-05,31
2021-01-06,39
2021-01-07,54
2021-01-08,45
2021-01-09,65
2021-01-10,51
2021-01-11,33
2021-01-12,32
2021-01-13,38
2021-01-14,58
2021-01-15,57
2021-01-16,78
2021-01-17,60
2021-01-18,56
2021-01-19,76
2021-01-20,86
2021-01-21,74
2021-01-22,79
2021-01-23,108
2021-01-24,71
2021-01-25,69
2021-01-26,56
2021-01-27,48
2021-01-28,71
2021-01-29,60
2021-01-30,54
2021-01-31,48
2021-02-01,40
2021-02-02,40
2021-02-03,37
2021-02-04,39
2021-02-05,39
2021-02-06,42
2021-02-07,43
2021-02-08,52
2021-02-09,46
2021-02-10,62
2021-02-11,39
2021-02-12,36
2021-02-13,39
2021-02-14,43
2021-02-15,40
2021-02-16,42
2021-02-17,46
2021-02-18,52
2021-02-19,40
2021-02-20,40
2021-02-21,40
2021-02-22,44
2021-02-23,41
2021-02-24,46
2021-02-25,44
2021-02-26,41
2021-02-27,43
2021-02-28,47
2021-03-01,52
2021-03-02,46
2021-03-03,54
2021-03-04,49
2021-03-05,48
2021-03-06,40
2021-03-07,44
2021-03-08,44
2021-03-09,50
2021-03-10,52
2021-03-11,60
2021-03-12,68
2021-03-13,77
2021-03-14,58
2021-03-15,40
2021-03-16,59
2021-03-17,66
2021-03-18,48
2021-03-19,44
2021-03-20,44
2021-03-21,44
2021-03-22,44
2021-03-23,40
2021-03-24,38
2021-03-25,36
2021-03-26,55
2021-03-27,56
2021-03-28,44
2021-03-29,43
2021-03-30,53
2021-03-31,52
2021-04-01,58
2021-04-02,53
